,time,value
1,1973,9007
2,1973.083333,8106
3,1973.166667,8928
4,1973.25,9137
5,1973.333333,10017
6,1973.416667,10826
7,1973.5,11317
8,1973.583333,10744
9,1973.666667,9713
10,1973.75,9938
11,1973.833333,9161
12,1973.916667,8927
13,1974,7750
14,1974.083333,6981
15,1974.166667,8038
16,1974.25,8422
17,1974.333333,8714
18,1974.416667,9512
19,1974.5,10120
20,1974.583333,9823
21,1974.666667,8743
22,1974.75,9129
23,1974.833333,8710
24,1974.916667,8680
25,1975,8162
26,1975.083333,7306
27,1975.166667,8124
28,1975.25,7870
29,1975.333333,9387
30,1975.416667,9556
31,1975.5,10093
32,1975.583333,9620
33,1975.666667,8285
34,1975.75,8466
35,1975.833333,8160
36,1975.916667,8034
37,1976,7717
38,1976.083333,7461
39,1976.166667,7767
40,1976.25,7925
41,1976.333333,8623
42,1976.416667,8945
43,1976.5,10078
44,1976.583333,9179
45,1976.666667,8037
46,1976.75,8488
47,1976.833333,7874
48,1976.916667,8647
49,1977,7792
50,1977.083333,6957
51,1977.166667,7726
52,1977.25,8106
53,1977.333333,8890
54,1977.416667,9299
55,1977.5,10625
56,1977.583333,9302
57,1977.666667,8314
58,1977.75,8850
59,1977.833333,8265
60,1977.916667,8796
61,1978,7836
62,1978.083333,6892
63,1978.166667,7791
64,1978.25,8192
65,1978.333333,9115
66,1978.416667,9434
67,1978.5,10484
68,1978.583333,9827
69,1978.666667,9110
70,1978.75,9070
71,1978.833333,8633
72,1978.916667,9240